Column_name;Column_description
ID;Airbnb's unique identifier for the listing
Listing_Url;
Scrape_ID;"Inside Airbnb """"Scrape"""" this was part of"
Last_Scraped;"UTC. The date and time this listing was """"scraped""""."
Name;Name of the listing
Summary;Summary description of the listing
Space;Description of the space for rent
Description;Detailed description of the listing
Experiences_Offered;Description of the experiences offered
Neighborhood_Overview;Host's description of the neighbourhood
Notes;Notes for the listing. In some cities, Airbnb instructs the host to write the legal Permit #, in liue of using the license_number field
Transit;Notes for the listing
Access;Access notes
Interaction;
House_Rules;
Thumbnail_Url;URL to the Airbnb hosted thumbnail image for the listing
Medium_Url;URL to the Airbnb hosted medium sized image for the listing
Picture_Url;URL to the Airbnb hosted regular sized image for the listing
XL_Picture_Url;URL to the Airbnb hosted XL sized image for the listing
Host_ID;Airbnb's unique identifier for the host/user
Host_URL;The Airbnb page for the host
Host_Name;Name of the host. Usually just the first name(s).
Host_Since;The date the host/user was created. For hosts that are Airbnb guests this could be the date they registered as a guest.
Host_Location;The host's self reported location
Host_About;Description about the host
Host_Response_Time;
Host_Response_Rate;
Host_Acceptance_Rate;That rate at which a host accepts booking requests.
Host_Thumbnail_Url;
Host_Picture_Url;
Host_Neighbourhood;
Host_Listings_Count;The number of listings the host has (per Airbnb calculations)
Host_Total_Listings_Count;The number of listings the host has (per Airbnb calculations)
Host_Verifications;
Street;
Neighbourhood;The neighbourhood as geocoded using the latitude and longitude against neighborhoods as defined by open or public digital shapefiles.
Neighbourhood_Cleansed;The neighbourhood as geocoded using the latitude and longitude against neighborhoods as defined by open or public digital shapefiles.
Neighbourhood_Group_Cleansed;The neighbourhood group as geocoded using the latitude and longitude against neighborhoods as defined by open or public digital shapefiles.
City;
State;
Zipcode;
Market;
Smart_Location;
Country_Code;
Country;
Latitude;Uses the World Geodetic System (WGS84) projection for latitude and longitude.
Longitude;Uses the World Geodetic System (WGS84) projection for latitude and longitude.
Property_Type;Self selected property type. Hotels and Bed and Breakfasts are described as such by their hosts in this field
Room_Type;"[Entire home/apt|Private room|Shared room|Hotel]. All homes are grouped into the following three room types:Entire place, Private room, Shared room, Entire place. Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.  Private rooms Private rooms are great for when you prefer a little privacy, and still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room. Shared rooms. Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays."
Accommodates;The maximum capacity of the listing
Bathrooms;The number of bathrooms in the listing
Bedrooms;The number of bedrooms
Beds;The number of bed(s)
Bed_Type;The type of bed(s)
Amenities;
Square_Feet;
Price;daily price in local currency
Weekly_Price;weekly price in local currency
Monthly_Price;monthly price in local currency
Security_Deposit;
Cleaning_Fee;
Guests_Included;number of guests included in the price
Extra_People;amount in local currency for additional guests
Minimum_Nights;minimum number of night stay for the listing (calendar rules may be different)
Maximum_Nights;maximum number of night stay for the listing (calendar rules may be different)
Calendar_Updated;
Has_Availability;[t=true, f=false]
Availability_30;avaliability_x. The availability of the listing x days in the future as determined by the calendar. Note a listing may not be available because it has been booked by a guest or blocked by the host.
Availability_60;avaliability_x. The availability of the listing x days in the future as determined by the calendar. Note a listing may not be available because it has been booked by a guest or blocked by the host.
Availability_90;avaliability_x. The availability of the listing x days in the future as determined by the calendar. Note a listing may not be available because it has been booked by a guest or blocked by the host.
Availability_365;avaliability_x. The availability of the listing x days in the future as determined by the calendar. Note a listing may not be available because it has been booked by a guest or blocked by the host.
Calendar_last_Scraped;
Number_of_Reviews;The number of reviews the listing has
First_Review;The date of the first/oldest review
Last_Review;The date of the last/newest review
Review_Scores_Rating;
Review_Scores_Accuracy;
Review_Scores_Cleanliness;
Review_Scores_Checkin;
Review_Scores_Communication;
Review_Scores_Location;
Review_Scores_Value;
License;The licence/permit/registration number
Jurisdiction_Names;Legal jurisdiction
Cancellation_Policy;
Calculated_host_listings_count;The number of listings the host has in the current scrape, in the city/region geography.
Reviews_per_Month;The number of reviews the listing has over the lifetime of the listing
Geolocation;
Features;
